order_id,customer_id,order_date,status,region_code
1,406.0,2026-01-10 06:37:24,PLACED,SOUTH
2,5.0,2025-09-02 13:16:56,SHIPPED,SOUTH
3,65.0,2024-09-13 03:28:52,RETURNED,NORTH
4,375.0,2025-05-20 20:40:44,DELIVERED,SOUTH
5,502.0,2026-02-03 18:25:18,RETURNED,EAST
6,117.0,2024-10-25 11:04:21,DELIVERED,EAST
7,305.0,2025-03-11 21:43:45,RETURNED,NORTH
8,245.0,2025-06-21 22:38:44,DELIVERED,NORTH
9,524.0,2026-01-04 18:41:44,CANCELLED,WEST
10,434.0,2025-08-13 18:08:06,SHIPPED,WEST
11,178.0,2025-01-17 03:13:50,RETURNED,SOUTH
12,323.0,2025-04-26 10:58:30,CANCELLED,NORTH
13,497.0,2025-05-22 17:28:47,SHIPPED,SOUTH
14,518.0,2025-12-01 02:55:16,CANCELLED,WEST
15,455.0,16-01-2026,CANCELLED,SOUTH
16,226.0,2025-06-25 15:29:33,DELIVERED,NORTH
17,173.0,2024-12-01 01:20:02,CANCELLED,WEST
18,117.0,2025-04-24 02:43:47,DELIVERED,EAST
19,452.0,2025-08-30 16:29:08,RETURNED,SOUTH
20,254.0,2025-08-23 06:18:41,DELIVERED,NORTH
21,90.0,2026-07-07 16:29:47,CANCELLED,NORTH
22,360.0,2025-07-27 07:03:02,RETURNED,WEST
23,212.0,2025-01-02 08:20:31,SHIPPED,NORTH
24,552.0,2025-01-19 20:04:54,SHIPPED,EAST
25,587.0,2025-05-19 11:53:46,DELIVERED,NORTH
26,422.0,2025-11-21 12:41:15,PLACED,EAST
27,136.0,2025-09-03 02:39:55,SHIPPED,SOUTH
28,403.0,2024-09-29 13:00:35,CANCELLED,SOUTH
29,425.0,2025-05-07 10:54:44,CANCELLED,WEST
30,96.0,2025-04-02 03:53:14,CANCELLED,EAST
31,466.0,2024-11-25 11:45:53,CANCELLED,EAST
32,96.0,2025-03-18 00:14:08,CANCELLED,EAST
33,408.0,2025-10-31 02:31:16,SHIPPED,WEST
34,331.0,2026-01-22 13:52:23,DELIVERED,EAST
35,,2024-11-09 23:29:32,DELIVERED,NORTH
36,471.0,2025-03-21 19:15:01,PLACED,NORTH
37,468.0,2026-03-01 11:48:27,PLACED,WEST
38,136.0,2026-02-15 18:25:29,DELIVERED,SOUTH
39,96.0,2025-10-07 13:31:14,DELIVERED,EAST
40,170.0,2025-05-27 02:11:00,PLACED,WEST
41,240.0,15-05-2026,CANCELLED,NORTH
42,489.0,2024-12-26 21:37:04,PLACED,SOUTH
43,456.0,2025-11-21 23:34:45,PLACED,NORTH
44,433.0,2024-10-31 06:57:12,SHIPPED,WEST
45,105.0,2025-12-23 11:40:13,PLACED,EAST
46,392.0,2024-09-10 00:38:52,SHIPPED,SOUTH
47,169.0,2025-12-31 14:10:49,CANCELLED,EAST
48,156.0,2025-01-02 21:11:47,CANCELLED,WEST
49,103.0,2025-10-05 23:18:25,SHIPPED,NORTH
50,440.0,2024-10-25 05:11:38,DELIVERED,SOUTH
51,255.0,2026-03-09 10:12:43,RETURNED,EAST
52,309.0,2025-02-04 11:44:49,SHIPPED,SOUTH
53,56.0,2025-03-17 02:15:33,SHIPPED,WEST
54,73.0,2026-02-16 20:27:17,RETURNED,NORTH
55,136.0,2025-02-17 05:22:24,CANCELLED,WEST
56,483.0,18-06-2025,PLACED,NORTH
57,221.0,2025-03-08 18:29:37,PLACED,NORTH
58,294.0,2025-12-31 21:44:33,RETURNED,WEST
59,550.0,2024-12-11 02:41:11,RETURNED,SOUTH
60,524.0,2025-08-12 11:50:14,SHIPPED,SOUTH
61,68.0,2026-01-08 11:03:23,DELIVERED,WEST
62,60.0,2025-08-14 05:29:21,SHIPPED,NORTH
63,57.0,2025-10-07 11:03:48,DELIVERED,SOUTH
64,12.0,2026-07-04 04:45:17,SHIPPED,WEST
65,266.0,2025-11-29 01:50:38,SHIPPED,EAST
66,276.0,2025-11-09 11:48:50,PLACED,NORTH
67,537.0,2025-04-10 10:40:39,PLACED,EAST
68,79.0,2026-05-02 04:27:13,CANCELLED,WEST
69,581.0,2025-07-29 03:46:44,SHIPPED,EAST
70,588.0,11-01-2025,PLACED,SOUTH
71,13.0,2024-08-22 06:00:38,SHIPPED,NORTH
72,154.0,2024-12-02 22:41:49,SHIPPED,NORTH
73,430.0,2025-11-30 03:21:42,SHIPPED,EAST
74,328.0,2025-01-23 12:09:59,DELIVERED,NORTH
75,54.0,2025-06-13 23:39:36,SHIPPED,SOUTH
76,411.0,2026-05-30 18:34:14,PLACED,WEST
77,319.0,26-08-2024,DELIVERED,NORTH
78,206.0,2025-11-03 17:31:46,DELIVERED,EAST
79,378.0,2025-11-05 15:15:57,RETURNED,WEST
80,,2026-05-07 04:10:03,SHIPPED,SOUTH
81,239.0,2025-03-29 11:22:45,RETURNED,EAST
82,10.0,2024-09-26 03:41:27,DELIVERED,NORTH
83,315.0,2025-02-08 00:04:56,PLACED,SOUTH
84,504.0,2026-04-15 15:34:32,PLACED,SOUTH
85,238.0,2025-04-17 16:31:47,RETURNED,WEST
86,87.0,2026-06-25 01:26:53,RETURNED,NORTH
87,404.0,2025-07-15 19:40:31,PLACED,NORTH
88,243.0,2025-12-09 18:06:49,DELIVERED,EAST
89,403.0,2026-04-30 14:26:28,DELIVERED,EAST
90,208.0,2025-06-28 09:03:16,SHIPPED,NORTH
91,478.0,2025-09-18 12:22:23,DELIVERED,WEST
92,213.0,2024-09-11 15:19:35,CANCELLED,EAST
93,93.0,2024-12-01 14:46:29,SHIPPED,EAST
94,42.0,2026-06-15 13:30:45,SHIPPED,EAST
95,365.0,2025-08-22 21:53:42,CANCELLED,NORTH
96,179.0,2025-12-11 18:51:29,PLACED,WEST
97,564.0,2024-08-07 09:06:37,SHIPPED,NORTH
98,144.0,2026-05-14 00:59:14,PLACED,NORTH
99,228.0,2025-02-17 02:01:59,SHIPPED,SOUTH
100,87.0,2025-07-02 05:27:27,RETURNED,EAST
101,67.0,2026-01-04 02:29:27,SHIPPED,WEST
102,340.0,2024-07-22 18:16:59,PLACED,NORTH
103,588.0,2025-11-21 05:12:30,CANCELLED,WEST
104,437.0,2025-03-25 22:30:32,SHIPPED,EAST
105,,2025-02-15 04:25:41,CANCELLED,SOUTH
106,252.0,2026-07-06 21:29:10,DELIVERED,WEST
107,63.0,2026-06-24 04:19:20,PLACED,EAST
108,539.0,2025-01-26 20:45:21,SHIPPED,NORTH
109,368.0,2024-08-23 15:18:52,CANCELLED,WEST
110,330.0,2025-01-13 13:42:04,CANCELLED,EAST
111,225.0,2025-04-18 03:52:45,PLACED,EAST
112,543.0,2026-07-09 18:51:54,DELIVERED,SOUTH
113,247.0,2026-07-02 18:44:03,DELIVERED,NORTH
114,590.0,2026-05-30 00:20:30,CANCELLED,EAST
115,178.0,2026-06-02 15:38:37,SHIPPED,SOUTH
116,368.0,2024-12-21 02:59:52,RETURNED,NORTH
117,582.0,2025-03-16 00:13:15,RETURNED,SOUTH
118,505.0,22-04-2025,RETURNED,EAST
119,,2024-10-17 14:34:42,SHIPPED,SOUTH
120,340.0,2025-12-24 12:15:55,RETURNED,SOUTH
121,,2025-07-24 17:09:56,DELIVERED,NORTH
122,146.0,2025-11-16 14:28:16,PLACED,EAST
123,406.0,2026-04-07 19:58:24,RETURNED,NORTH
124,162.0,2025-11-22 19:59:14,CANCELLED,WEST
125,576.0,2025-05-10 04:40:40,RETURNED,EAST
126,180.0,2025-08-31 19:58:21,CANCELLED,EAST
127,182.0,2025-05-16 20:46:11,PLACED,WEST
128,582.0,2025-02-22 12:44:05,PLACED,SOUTH
129,227.0,2025-09-24 13:13:37,RETURNED,NORTH
130,80.0,2025-06-02 10:48:31,SHIPPED,EAST
131,,2024-10-13 14:21:21,DELIVERED,WEST
132,70.0,2025-10-28 23:01:39,DELIVERED,EAST
133,50.0,2025-09-06 18:32:29,CANCELLED,WEST
134,424.0,2025-11-21 00:36:09,CANCELLED,WEST
135,491.0,2024-12-04 02:59:46,RETURNED,SOUTH
136,35.0,2024-10-18 05:27:43,DELIVERED,NORTH
137,76.0,2025-11-24 07:12:15,DELIVERED,SOUTH
138,77.0,2026-04-26 18:46:15,RETURNED,NORTH
139,495.0,2026-05-04 18:12:25,PLACED,WEST
140,445.0,2025-05-19 11:52:16,SHIPPED,NORTH
141,195.0,2026-05-04 08:22:43,CANCELLED,EAST
142,99.0,2026-01-22 20:20:13,PLACED,WEST
143,,2025-10-31 16:55:49,PLACED,EAST
144,,2025-08-25 22:46:09,SHIPPED,NORTH
145,299.0,2024-11-01 19:00:37,PLACED,WEST
146,408.0,2024-08-27 21:04:24,CANCELLED,WEST
147,558.0,2025-08-02 15:48:58,CANCELLED,SOUTH
148,192.0,2025-12-16 21:04:33,CANCELLED,NORTH
149,232.0,2024-11-20 20:21:37,DELIVERED,NORTH
150,100.0,2026-03-14 14:17:45,PLACED,EAST
151,233.0,2024-10-23 15:25:36,RETURNED,NORTH
152,429.0,2024-07-30 21:04:41,RETURNED,WEST
153,307.0,2025-02-27 03:15:56,PLACED,WEST
154,515.0,2026-06-20 00:32:11,RETURNED,SOUTH
155,178.0,2026-06-11 11:25:13,SHIPPED,SOUTH
156,434.0,2025-02-15 22:20:37,PLACED,WEST
157,152.0,2026-01-04 23:51:43,RETURNED,EAST
158,69.0,2026-03-01 13:48:51,PLACED,WEST
159,283.0,17-10-2025,RETURNED,WEST
160,536.0,2025-12-30 16:24:21,CANCELLED,NORTH
161,597.0,2024-10-28 08:13:42,PLACED,NORTH
162,293.0,2024-11-23 14:57:07,RETURNED,EAST
163,,2024-10-13 10:23:22,RETURNED,WEST
164,,2024-07-28 11:29:05,RETURNED,WEST
165,340.0,2026-06-29 13:29:25,SHIPPED,NORTH
166,382.0,2025-10-03 00:12:01,PLACED,EAST
167,288.0,2025-09-24 17:21:28,CANCELLED,NORTH
168,308.0,2025-09-29 15:49:38,CANCELLED,EAST
169,92.0,2025-09-17 23:17:58,SHIPPED,WEST
170,497.0,2024-12-25 00:26:06,RETURNED,EAST
171,163.0,2024-07-28 09:29:27,PLACED,EAST
172,537.0,2024-09-05 09:30:55,RETURNED,NORTH
173,,2026-01-29 23:43:47,PLACED,SOUTH
174,370.0,2024-10-15 06:55:57,SHIPPED,EAST
175,407.0,2026-03-19 10:16:46,PLACED,NORTH
176,457.0,2025-06-16 18:19:36,SHIPPED,WEST
177,168.0,2025-10-26 20:06:51,DELIVERED,NORTH
178,167.0,2024-11-20 17:34:39,RETURNED,SOUTH
179,212.0,2025-04-18 08:57:29,DELIVERED,WEST
180,10.0,2025-06-20 11:26:49,CANCELLED,SOUTH
181,9.0,2024-11-05 23:36:51,SHIPPED,EAST
182,282.0,2024-12-21 15:06:03,CANCELLED,WEST
183,224.0,2025-05-03 19:22:45,CANCELLED,EAST
184,,2026-06-17 00:59:28,RETURNED,NORTH
185,384.0,2026-05-16 08:28:26,RETURNED,EAST
186,66.0,2026-06-03 10:36:22,DELIVERED,EAST
187,268.0,2024-12-18 21:54:14,DELIVERED,SOUTH
188,59.0,2025-11-11 17:47:05,RETURNED,WEST
189,27.0,2024-12-04 12:10:16,CANCELLED,EAST
190,398.0,2024-12-05 18:28:29,PLACED,SOUTH
191,548.0,2024-11-15 16:38:25,CANCELLED,EAST
192,572.0,2026-06-06 17:30:57,SHIPPED,EAST
193,265.0,2025-05-26 05:31:39,RETURNED,SOUTH
194,92.0,2025-10-03 02:10:43,SHIPPED,EAST
195,431.0,2025-11-23 19:28:08,DELIVERED,EAST
196,121.0,2026-04-03 12:04:18,CANCELLED,NORTH
197,73.0,2026-04-18 16:56:16,CANCELLED,SOUTH
198,391.0,2025-05-17 15:53:28,RETURNED,EAST
199,155.0,2026-01-27 08:24:50,SHIPPED,SOUTH
200,469.0,2025-09-26 10:07:35,SHIPPED,EAST
201,83.0,2026-03-03 11:55:19,CANCELLED,EAST
202,60.0,2025-12-17 10:24:25,PLACED,WEST
203,173.0,2025-04-23 06:15:04,RETURNED,SOUTH
204,91.0,2026-05-26 08:43:36,SHIPPED,WEST
205,,2025-08-31 03:04:13,CANCELLED,NORTH
206,383.0,2025-08-04 23:52:45,PLACED,EAST
207,19.0,2025-10-20 20:47:56,PLACED,SOUTH
208,320.0,2025-12-05 16:21:12,SHIPPED,NORTH
209,172.0,2024-08-06 11:21:49,PLACED,NORTH
210,533.0,2024-09-27 04:40:15,RETURNED,EAST
