product_id,product_name,category,subcategory,cost_price
1,Sweater,Clothing,Sweater,24769.42
2,Laptop,Electronics,Laptop,38943.18
3,Python Book,Books,Python Book,27914.55
4,Keyboard,Electronics,Keyboard,6753.62
5,Curtain,Home,Curtain,30671.35
6,Cloud Computing Book,Books,Cloud Computing Book,22351.09
7,Machine Learning Book,Books,Machine Learning Book,13033.66
8,Pillow,Home,Pillow,24281.39
9,Python Book,Books,Python Book,35705.89
10,Lamp  ,Home,Lamp,44662.04
11,Sweater,Clothing,Sweater,34728.1
12,Keyboard,Electronics,Keyboard,20439.21
13,Python Book,Books,Python Book,10421.04
14,MOUSE,Electronics,Mouse,19081.01
15,Curtain,Home,Curtain,42687.05
16,Cloud Computing Book,Books,Cloud Computing Book,37401.03
17,Sweater,Clothing,Sweater,11049.14
18,Keyboard,Electronics,Keyboard,16872.86
19,SQL Book,Books,SQL Book,42041.23
20,Keyboard,Electronics,Keyboard,29635.45
21,Keyboard,Electronics,Keyboard,6871.4
22,Headphones,Electronics,Headphones,19017.28
23,Lamp,Home,Lamp,38085.36
24,Data Engineering Book,Books,Data Engineering Book,41762.05
25,  Headphones,Electronics,Headphones,11288.69
26,Smartphone  ,Electronics,Smartphone,10048.1
27,Jeans,Clothing,Jeans,23730.7
28,Sweater,Clothing,Sweater,35003.3
29,Shoes,Clothing,Shoes,30401.65
30,Smartphone,Electronics,Smartphone,48239.57
31,Headphones,Electronics,Headphones,28832.26
32,Machine Learning Book,Books,Machine Learning Book,47079.38
33,T Shirt,Clothing,T Shirt,34889.93
34,Mouse,Electronics,Mouse,39153.5
35,Data Engineering Book,Books,Data Engineering Book,3540.94
36,Keyboard,Electronics,Keyboard,41134.31
37,Curtain,Home,Curtain,35394.7
38,Pillow,Home,Pillow,40429.14
39,Machine Learning Book,Books,Machine Learning Book,21835.17
40,Lamp,Home,Lamp,42600.49
41,Headphones,Electronics,Headphones,44093.4
42,Cloud Computing Book,Books,Cloud Computing Book,30555.55
43,Keyboard,Electronics,Keyboard,42562.55
44,Jacket,Clothing,Jacket,39911.83
45,Pillow,Home,Pillow,606.54
46,Smartphone,Electronics,Smartphone,36031.73
47,Sweater,Clothing,Sweater,32330.55
48,Laptop,Electronics,Laptop,14782.36
49,Jacket,Clothing,Jacket,33231.61
50,Curtain,Home,Curtain,49831.91
51,Curtain,Home,Curtain,13618.73
52,Smartphone,Electronics,Smartphone,15845.84
53,Jeans,Clothing,Jeans,10897.59
54,Chair,Home,Chair,41648.16
55,Table,Home,Table,15183.15
56,JACKET,Clothing,Jacket,2371.23
57,SWEATER,Clothing,Sweater,5219.12
58,Machine Learning Book,Books,Machine Learning Book,22079.39
59,Headphones,Electronics,Headphones,47059.07
60,Keyboard,Electronics,Keyboard,24638.15
61,Smartphone,Electronics,Smartphone,7544.96
62,Chair,Home,Chair,49696.51
63,Cloud Computing Book,Books,Cloud Computing Book,29846.73
64,Machine Learning Book,Books,Machine Learning Book,45434.37
65,  Data Engineering Book,Books,Data Engineering Book,28474.61
66,Jeans  ,Clothing,Jeans,13305.84
67,shoes,Clothing,Shoes,3845.74
68,Data Engineering Book,Books,Data Engineering Book,1728.73
69,Curtain,Home,Curtain,3651.87
70,Pillow,Home,Pillow,33093.03
71,Python Book,Books,Python Book,27273.66
72,Table,Home,Table,3663.35
73,Pillow,Home,Pillow,37472.99
74,Curtain,Home,Curtain,6305.25
75,Data Engineering Book,Books,Data Engineering Book,25073.56
76,Mouse,Electronics,Mouse,2089.05
77, PILLOW ,Home,Pillow,12593.36
78,Headphones,Electronics,Headphones,28854.72
79,Sweater,Clothing,Sweater,25996.3
80,Table,Home,Table,49847.58
81,Python Book,Books,Python Book,23553.52
82,Chair,Home,Chair,42900.88
83,Data Engineering Book,Books,Data Engineering Book,33162.92
84,Keyboard,Electronics,Keyboard,4494.18
85,Keyboard,Electronics,Keyboard,43259.04
86, MOUSE ,Electronics,Mouse,23152.62
87,Pillow,Home,Pillow,37846.51
88,Smartphone,Electronics,Smartphone,13426.11
89,Curtain,Home,Curtain,44054.25
90,Mouse,Electronics,Mouse,39985.76
91,Pillow,Home,Pillow,782.36
92,T Shirt,Clothing,T Shirt,23126.25
93,Sweater,Clothing,Sweater,46639.39
94,Curtain,Home,Curtain,41752.72
95,Sweater,Clothing,Sweater,27608.13
96,T Shirt,Clothing,T Shirt,13884.75
97,Data Engineering Book,Books,Data Engineering Book,46718.99
98,Headphones,Electronics,Headphones,36329.94
99,SQL Book,Books,SQL Book,22382.71
100,Pillow,Home,Pillow,38167.35
101,Table,Home,Table,49040.65
102,SQL Book,Books,SQL Book,42815.05
103,Curtain,Home,Curtain,35290.87
104, SQL BOOK ,Books,SQL Book,24816.9
105,Chair,Home,Chair,43722.1
106,Python Book,Books,Python Book,36149.95
107,T Shirt,Clothing,T Shirt,23527.58
108,Pillow,Home,Pillow,34665.96
109,Pillow,Home,Pillow,19062.47
110,CLOUD COMPUTING BOOK,Books,Cloud Computing Book,1891.37
111,  T Shirt,Clothing,T Shirt,21755.18
112,SQL Book,Books,SQL Book,34730.66
113,Headphones,Electronics,Headphones,39827.56
114,Curtain,Home,Curtain,7363.93
115,Jeans,Clothing,Jeans,8835.96
116,Cloud Computing Book,Books,Cloud Computing Book,34188.42
117,Jeans,Clothing,Jeans,23111.38
118,Chair,Home,Chair,44955.54
119,Pillow,Home,Pillow,7982.98
120,Pillow,Home,Pillow,15027.8
121,Curtain,Home,Curtain,42280.67
122,Machine Learning Book,Books,Machine Learning Book,5422.0
123,Pillow,Home,Pillow,14864.03
124,Keyboard,Electronics,Keyboard,13796.57
125,Mouse,Electronics,Mouse,37284.09
126,Table,Home,Table,30392.54
127,Shoes,Clothing,Shoes,12606.28
128,T Shirt,Clothing,T Shirt,45179.84
129,Curtain,Home,Curtain,1764.89
